"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:1","Monica","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon.","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",1,"`text`"
"Col:text Row:1","Chandler","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon.","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",1,"`text`"
"Col:text Row:1","Monica","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon.","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",1,"`text`"
"Col:text Row:1","Chandler","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon.","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",1,"`text`"
"Col:text Row:1","Monica","Monica is entering from the bedroom.]","[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",1,"`text`"
"Col:text Row:2","Babe","Babe!","Hey! Babe! Aren't you excited we're going on our honeymoon?",1,"`text`"
"Col:speaker Row:2","Chandler","Chandler","Chandler Bing",22,"`speaker`"
"Col:speaker Row:2","Bing","Bing","Chandler Bing",22,"`speaker`"
"Col:speaker Row:3","Monica","Monica Geller","Monica Geller",31,"`speaker`"
"Col:speaker Row:3","Geller","Monica Geller","Monica Geller",31,"`speaker`"
"Col:text Row:4","Bermuda","Bermuda, Bahama, come on pretty mama...","Bermuda, Bahama, come on pretty mama...",1,"`text`"
"Col:text Row:4","Bahama","Bermuda, Bahama, come on pretty mama...","Bermuda, Bahama, come on pretty mama...",1,"`text`"
"Col:speaker Row:6","Joey","Joey Tribbiani","Joey Tribbiani",38,"`speaker`"
"Col:speaker Row:6","Tribbiani","Joey Tribbiani","Joey Tribbiani",38,"`speaker`"
"Col:speaker Row:7","Phoebe","Phoebe Buffay","Phoebe Buffay",33,"`speaker`"
"Col:speaker Row:7","Buffay","Phoebe Buffay","Phoebe Buffay",33,"`speaker`"
"Col:text Row:10","Joey","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)",1,"`text`"
"Col:text Row:10","Phoebe","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)",1,"`text`"
"Col:text Row:10","Chandler","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)","(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)",1,"`text`"
"Col:speaker Row:12","Rachel","Rachel Green","Rachel Green",56,"`speaker`"
"Col:speaker Row:12","Green","Rachel Green","Rachel Green",56,"`speaker`"
"Col:text Row:20","God","It was his sweater, but-Oh my God!","It was his sweater, but-Oh my God!",1,"`text`"
"Col:text Row:21","Ross","Oh, I so wanted Ross to know first, but I'm so relieved you guys know.","Oh, I so wanted Ross to know first, but I'm so relieved you guys know.",1,"`text`"
"Col:text Row:28","Ross","Give me some advice on how I'm gonna tell Ross!","Okay. Great! So now that you guys all know you can help me. Give me some advice on how I'm gonna tell Ross!",1,"`text`"
"Col:text Row:36","Rachel","(Rachel exits.)","(Rachel exits.)",1,"`text`"
"Col:text Row:38","Rachel","Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby.","Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby.",1,"`text`"
"Col:text Row:38","Ross","Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby.","Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby.",1,"`text`"
"Col:text Row:47","Joey","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]",1,"`text`"
"Col:text Row:47","Rachel","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]",1,"`text`"
"Col:text Row:47","Joey","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]",1,"`text`"
"Col:text Row:47","Phoebe","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]","[Scene: Joey and Rachel's, Joey and Phoebe are entering.]",1,"`text`"
"Col:text Row:49","Monica","Y'know, Monica and Chandler are married.","Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",1,"`text`"
"Col:text Row:49","Chandler","Y'know, Monica and Chandler are married.","Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",1,"`text`"
"Col:text Row:49","Ross","Ross and Rachel are having a baby.","Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",1,"`text`"
"Col:text Row:49","Rachel","Ross and Rachel are having a baby.","Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",1,"`text`"
"Col:text Row:56","Monica","You mean the time you broke the ketchup bottle and cleaned it up with Monica's guest towels?","You mean the time you broke the ketchup bottle and cleaned it up with Monica's guest towels?",1,"`text`"
"Col:text Row:63","Monica","Monica's chicken parm!","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Mr.","Hey Mr. Treeger, it's Joey Tribbiani.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Treeger","Hey Mr. Treeger, it's Joey Tribbiani.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Joey","Hey Mr. Treeger, it's Joey Tribbiani.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Tribbiani","Hey Mr. Treeger, it's Joey Tribbiani.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Listen","Listen, I need to get into Monica and Chandler's apartment.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Monica","Listen, I need to get into Monica and Chandler's apartment.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:text Row:63","Chandler","Listen, I need to get into Monica and Chandler's apartment.","Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",1,"`text`"
"Col:speaker Row:64","Ross","Ross Geller","Ross Geller",68,"`speaker`"
"Col:speaker Row:64","Geller","Ross Geller","Ross Geller",68,"`speaker`"
"Col:text Row:65","Rachel","Did Rachel find you?","Did Rachel find you?",1,"`text`"
"Col:text Row:74","Phoebe","(Phoebe and Joey trade looks)","(Phoebe and Joey trade looks)",1,"`text`"
"Col:text Row:74","Joey","(Phoebe and Joey trade looks)","(Phoebe and Joey trade looks)",1,"`text`"
"Col:text Row:76","Rachel","Uh, uh we promised we weren't gonna tell anybody this but uh, about a month ago Rachel and I slept together.","Yeah. Uh, uh we promised we weren't gonna tell anybody this but uh, about a month ago Rachel and I slept together.",1,"`text`"
"Col:text Row:86","Rachel","Please, just-just, just go and talk to Rachel.","Please, just-just, just go and talk to Rachel.",1,"`text`"
"Col:text Row:88","Airport","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",1,"`text`"
"Col:text Row:88","Ticket","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",1,"`text`"
"Col:text Row:88","Counter","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",1,"`text`"
"Col:text Row:88","Monica","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",1,"`text`"
"Col:text Row:88","Chandler","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]","[Scene: The Airport Ticket Counter, Monica and Chandler are standing in line behind another couple kissing who are next in line to be served.]",1,"`text`"
"Col:speaker Row:89","Ticket","Ticket Agent","Ticket Agent",6,"`speaker`"
"Col:speaker Row:89","Agent","Ticket Agent","Ticket Agent",6,"`speaker`"
"Col:speaker Row:97","Woman","Woman","Woman",2,"`speaker`"
"Col:text Row:105","Mr.","Okay, Mr. Bing you'll be in 25J and Mrs.","Congratulations. Okay, Mr. Bing you'll be in 25J and Mrs. Bing you'll be in 25K.",1,"`text`"
"Col:text Row:105","Bing","Okay, Mr. Bing you'll be in 25J and Mrs.","Congratulations. Okay, Mr. Bing you'll be in 25J and Mrs. Bing you'll be in 25K.",1,"`text`"
"Col:text Row:105","J","Okay, Mr. Bing you'll be in 25J and Mrs.","Congratulations. Okay, Mr. Bing you'll be in 25J and Mrs. Bing you'll be in 25K.",1,"`text`"
"Col:text Row:105","Mrs","Okay, Mr. Bing you'll be in 25J and Mrs.","Congratulations. Okay, Mr. Bing you'll be in 25J and Mrs. Bing you'll be in 25K.",1,"`text`"
"Col:text Row:108","Damnit","Damnit!","You see, if we'd gone around them like I said, we-She would've given us those tickets. Damnit!",1,"`text`"
"Col:text Row:110","Joey","[Scene: Joey and Rachel's, Phoebe and Joey are playing Rock 'em, Sock 'em Robots.]","[Scene: Joey and Rachel's, Phoebe and Joey are playing Rock 'em, Sock 'em Robots.]",1,"`text`"
"Col:text Row:110","Rachel","[Scene: Joey and Rachel's, Phoebe and Joey are playing Rock 'em, Sock 'em Robots.]","[Scene: Joey and Rachel's, Phoebe and Joey are playing Rock 'em, Sock 'em Robots.]",1,"`text`"
